Date,Hours,open,High,Low,Close,Volume,Nikki=10-20,Leqi=30-40,Jelmer=50-60,Maas=70-80,Coach,External,Adj Close,Title,Type,Description
2023/3/7,4,4,4,0,0,4,1,1,1,1,FALSE,FALSE,workshop: Short design sessions with observer,workshop: Short design sessions with observer,Prototype Building,knowledge\ncollaboration\nprototype\nevaluation
2023/3/3,3,3,3,0,0,2,1,1,1,1,1,FALSE,session reflection,session reflection,Analyzing,go hands-on\nwhy do that?\nand How does it go beyond just shaping product?\nWhen do you need this
2023/3/2,39,1,39,40,40,5,FALSE,1,FALSE,FALSE,FALSE,FALSE,Mouse of clay,Mouse of clay,Testing,3D prototyping upgrader Lo-fi / hi-fi
2023/3/2,77,3,77,80,80,3,FALSE,FALSE,FALSE,1,FALSE,FALSE,Mouse of foamboard,Mouse of foamboard,Testing,3D prototyping upgrader\nLo-fi / hi-fi
2023/3/2,16,4,16,20,20,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,Mouse of foam,Mouse of foam,Testing,3D prototyping upgrader\nLo-fi / hi-fi
2023/3/2,58,2,58,60,60,3,FALSE,FALSE,1,FALSE,FALSE,FALSE,Mouse of paper mach,Mouse of paper mach,Testing,3D prototyping upgrader\nLo-fi / hi-fi
2023/2/28,3,3,3,0,0,3,1,1,1,1,FALSE,FALSE,discuss where do we apply 3D in design,discuss where do we apply 3D in design,Analyzing,
2023/2/27,2,2,2,0,0,4,1,1,1,1,FALSE,FALSE,The worked out AI examples,The worked out AI examples,Brainstorm / Ideate,envisioning AI as collaborator in different modes
2023/2/17,3,3,3,0,0,3,1,1,1,1,FALSE,FALSE,session benchmark,session benchmark,Analyzing,Categorizing within benchmark  
2023/2/17,1,1,1,0,0,3,1,1,1,1,1,FALSE,first coaching,first coaching,Evaluating,What does collaboration mean?\nWhat role does a team member take
2023/2/16,17,3,17,20,20,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,looking for relevant projects,looking for relevant projects,Background Research,make benchmark
2023/2/16,37,3,37,40,40,2,FALSE,1,FALSE,FALSE,FALSE,FALSE,looking for relevant projects,looking for relevant projects,Background Research,make benchmark
2023/2/16,57,3,57,60,60,3,FALSE,FALSE,1,FALSE,FALSE,FALSE,looking for relevant projects,looking for relevant projects,Background Research,make benchmark
2023/2/16,57,3,57,60,60,5,FALSE,FALSE,1,FALSE,FALSE,FALSE,looking for relevant projects,looking for relevant projects,Background Research,make benchmark
2023/2/16,77,3,77,80,80,5,FALSE,FALSE,FALSE,1,FALSE,FALSE,looking for relevant projects,looking for relevant projects,Background Research,make benchmark
2023/2/13,18,2,18,20,20,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,squad topics in persona interest,squad topics in persona interest,Background Research,"find inspiration, desk research"
2023/2/13,38,2,38,40,40,3,FALSE,1,FALSE,FALSE,FALSE,FALSE,squad topics in personal interest,squad topics in personal interest,Background Research,"find inspiration, desk research"
2023/2/13,58,2,58,60,60,5,FALSE,FALSE,1,FALSE,FALSE,FALSE,squad topics in personal interest,squad topics in personal interest,Background Research,"find inspiration, desk research"
2023/2/13,78,2,78,80,80,4,FALSE,FALSE,FALSE,1,FALSE,FALSE,squad topics in personal interest,squad topics in personal interest,Background Research,"find inspiration, desk research"
