Date,Hours,open,High,Low,Close,Volume,Nikki=10,Leqi=30,Jelmer=50,Maas=70,Coach,External,Adj Close,Title,Type,Description
2023/3/7,4,4,4,0,0,4,1,1,1,1,FALSE,FALSE,workshop: Short design sessions with observer,workshop: Short design sessions with observer,Prototype Building,knowledge\ncollaboration\nprototype\nevaluation
2023/3/3,3,3,3,0,0,2,1,1,1,1,1,FALSE,session reflection,session reflection,Analyzing,go hands-on\nwhy do that?\nand How does it go beyond just shaping product?\nWhen do you need this
2023/3/2,29,1,29,30,30,5,FALSE,1,FALSE,FALSE,FALSE,FALSE,Mouse of clay,Mouse of clay,Testing,3D prototyping upgrader Lo-fi / hi-fi
2023/3/2,67,3,67,70,70,3,FALSE,FALSE,FALSE,1,FALSE,FALSE,Mouse of foamboard,Mouse of foamboard,Testing,3D prototyping upgrader\nLo-fi / hi-fi
2023/3/2,6,4,6,10,10,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,Mouse of foam,Mouse of foam,Testing,3D prototyping upgrader\nLo-fi / hi-fi
2023/3/2,48,2,48,50,50,3,FALSE,FALSE,1,FALSE,FALSE,FALSE,Mouse of paper mach,Mouse of paper mach,Testing,3D prototyping upgrader\nLo-fi / hi-fi
2023/2/28,3,3,3,0,0,3,1,1,1,1,FALSE,FALSE,discuss where do we apply 3D in design,discuss where do we apply 3D in design,Analyzing,
2023/2/27,2,2,2,0,0,4,1,1,1,1,FALSE,FALSE,The worked out AI examples,The worked out AI examples,Brainstorm / Ideate,envisioning AI as collaborator in different modes
2023/2/17,3,3,3,0,0,3,1,1,1,1,FALSE,FALSE,session benchmark,session benchmark,Analyzing,Categorizing within benchmark  
2023/2/17,1,1,1,0,0,3,1,1,1,1,1,FALSE,first coaching,first coaching,Evaluating,What does collaboration mean?\nWhat role does a team member take
2023/2/16,7,3,7,10,10,2,1,FALSE,FALSE,FALSE,FALSE,FALSE,looking for relevant projects,looking for relevant projects,Background Research,make benchmark
2023/2/16,27,3,27,30,30,2,FALSE,1,FALSE,FALSE,FALSE,FALSE,looking for relevant projects,looking for relevant projects,Background Research,make benchmark
2023/2/16,47,3,47,50,50,3,FALSE,FALSE,1,FALSE,FALSE,FALSE,looking for relevant projects,looking for relevant projects,Background Research,make benchmark
2023/2/16,47,3,47,50,50,5,FALSE,FALSE,1,FALSE,FALSE,FALSE,looking for relevant projects,looking for relevant projects,Background Research,make benchmark
2023/2/16,67,3,67,70,70,5,FALSE,FALSE,FALSE,1,FALSE,FALSE,looking for relevant projects,looking for relevant projects,Background Research,make benchmark
2023/2/13,8,2,8,10,10,4,1,FALSE,FALSE,FALSE,FALSE,FALSE,squad topics in persona interest,squad topics in persona interest,Background Research,"find inspiration, desk research"
2023/2/13,28,2,28,30,30,3,FALSE,1,FALSE,FALSE,FALSE,FALSE,squad topics in personal interest,squad topics in personal interest,Background Research,"find inspiration, desk research"
2023/2/13,48,2,48,50,50,5,FALSE,FALSE,1,FALSE,FALSE,FALSE,squad topics in personal interest,squad topics in personal interest,Background Research,"find inspiration, desk research"
2023/2/13,68,2,68,70,70,4,FALSE,FALSE,FALSE,1,FALSE,FALSE,squad topics in personal interest,squad topics in personal interest,Background Research,"find inspiration, desk research"
